link,title,description,published,date_updated
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::basemap-of-dc,Construction Permits in the Last 30 Days,The DC Basemap provides a reference map for the District of Columbia projected in Web Mercator. Access the ArcGIS Rest endpoint. The basemap utilizes the most current planimetric and reference data available. The service is provided by the Office of the Chief Technology Officer.,2013-05-01 18:49:52+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::circulator-routes,Rodent Inspection and Treatment in Last 30 Days,"Explore Washington, DC with the DC Circulator as 
		your guide! The DC Circulator is a low-cost, efficient transit system 
		that connects District neighborhoods with ease. Click below to visit the
		 Circulator Route Map, to find exact stop location and service hours for
		 five routes throughout the District.",2014-01-28 19:04:58+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dcps-school-profiles,Tree Inspection in the Last 30 Days,"This interactive site provides comprehensive 
		information about DC public schools and programs including contact 
		information, DC-CAS scores, special programs offered, demographic 
		information and much more.  For more information on DC Public Schools visit https://dcps.dc.gov.",2014-01-28 19:23:25+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::godcgo,Parking Enforcement in the Last 30 Days,"goDCgo is the number one resource for transportation
		 information and options to make getting into and around the District 
		easier than ever.  goDCgo is an initiative of the District Department of Transportation (DDOT) that encourages the use of sustainable transportation. We provide complimentary transit resources and consulting services to DC organizations and commuters. Our goal serves to decrease traffic congestion, improve air quality and create a better quality of life in the DC area. For more information visit https://www.godcgo.com.",2014-01-28 19:26:10+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::election-candidate-contribution,Tree Trimming in Last 30 Days,"The Office of Campaign Finance (OCF) provides easy access to all contributions and expenditures reported from 2003, through the current reporting period. Because the system is updated on a daily basis, you may be able to retrieve data received by OCF after the latest reporting period. This data is as reported, but may not be complete.A Contributor Report is a graphical representation of the percentages of the different kinds of contributions received by candidate/committees. This report has been categorized on the basis of the contributions received by denomination and also by the type of donor. The Expenditure Report is a graphical representation of the percentages of the different kinds of expenditures made by candidate/committees. This report has been categorized on the basis of the types of expenditure.",2014-02-05 18:09:28+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dc-location-search,Sanitation Enforcement - Last 30 Days,"The Master Address Repository is a database of building addresses, intersections and other location identifiers in the District. Each address in the database has been assigned a unique Address Identification Number (AID), map coordinates and other useful information. The District created a nice, easy to use, website where anyone can search for a single address or square suffix lot. Just use one of our standard methods to get quick information. What Ward are you located in? What is your police district?",2014-02-05 20:15:10+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::property-quest,Recycling Bin in Last 30 Days,"DCPropertyQuest has been developed by the District of Columbia Office of Planning as an easy way to view a wide range of site-related information, especially information on historic resources.This site uses ArcGIS Server from ESRI to supply spatial data for mapping and analysis, and Adobe’s Flex technology to display it.  When you enter an address, it looks it up in DC’s Master Address Repository to find that specific location.  It then searches there for the matching lot, and searches again for historic resources that might be present on that lot.",2014-02-05 21:23:50+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::public-library-hours-and-locations,Grass & Weeds Mowing in Last 30 Days,"Find out more about what’s happening at your neighborhood library such as latest events, news and updates plus contact information.",2014-02-05 21:29:46+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::sex-offender-registry-1,Street Markings - Last 30 Days,"In 2000, the District of Columbia City Council passed the Sex Offender Registration law. This law requires a person convicted, or found not guilty by reason of insanity, of a registration-required offense to register with the District of Columbia, provided the individual lives, works, or attends school here. Generally speaking, an offense requiring registration is a felony sexual assault (regardless of the age of the victim); an offense involving sexual abuse or exploitation of minors; or sexual abuse of wards, patients, or clients. The Court Services and Offender Supervisory Agency (CSOSA) will complete the initial registration. Other District agencies also have the responsibility to notify either CSOSA or MPD about sex offenders. These agencies include the Department of Corrections, Forensic and Mental Health Unit of St. Elizabeth's Hospital, and the District of Columbia Superior Court.",2014-02-06 20:58:48+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::trash-and-recycling-pick-up-day,Street/Alley Repair - Last 30 Days,"The Department of Public Works removes 
		approximately 128,000 tons of trash and more than 20,000 tons of 
		recyclables from 110,000 single-family homes and small residential 
		buildings (with no more than three living units) each year. Residential 
		buildings with more than 3 living units do not receive trash collection 
		services from the City.",2014-02-06 21:09:58+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::zoning-map-for-dc,Bulk Collection - Last 30 Days,"The interactive zoning map 
		allows users to determine the zoning classification for any property in 
		the District. Users can search zoning by specific address, square and 
		lot, parcel, Zoning Commission (ZC) case, or Planned Unit Development 
		(PUD), where applicable. Users can select different layers of data to 
		display on the map, and can print reports for any selected property. Users should note that when searching for a PUD, the ZC case name and
		 ZC case number reflect the most recent case name and case number 
		associated with the PUD. If you have questions, comments, or suggestions regarding the zoning map, contact the Office of Zoning at (202) 727-6311 or zoningmap@dc.gov.",2014-02-06 21:20:25+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-tree-vandalism,Supercan - Last 30 Days,"Recently, several hundred street trees were injured.  This map tour provides some insight into the type of damage that occurred.  The pictures display examples of the types of wounds sustained by the trees.  All told, the District Department of Transportation's (DDOT) Urban Forestry Administration (UFA) has identified over 750 street trees that were damaged during the recent rampage.  Photographs were taken in March of 2014.  For more information about the UFA, visit http://ddot.dc.gov/page/ddot-urban-forestry.",2014-03-13 18:03:53+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::transportation-online-permitting-system-tops,Building Permits in Last 30 Days,"This online system enables home owners, tenants, and businesses alike to apply for the specific type of public space occupancy. These include construction, excavation, annual or rental permit required for use of the public space. TOPS can also assist developers in need of a zoning plan review through the Development Review Branch.",2014-07-15 17:48:22+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::our-diverse-canopy,Abandoned Vehicle Private - Last 30 Days,"The District of Columbia is home to a very diverse tree canopy, but it is not self-sustaining.  In order to promote overall canopy health, ensure tree diversity, and match each new planting to a suitable planting site, the city's Urban Forestry Administration chooses the best available tree from a selection of 130 species and cultivars. The following presentation will introduce readers to the trees that make the District of Columbia's canopy unique.Washington, DC stands apart from most other US cities when it comes to trees. Trees were considered so essential that they were included as an integral part of Pierre L'Enfant's original design. The L'Enfant Plan, drafted in 1791, reserved space in the public right-of-way exclusively for trees and DC remains the ""City of Trees."" Agency Website.",2014-09-09 15:06:46+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::sidewalk-cafe-inspections,Street/Alley Lights - Last 30 Days,The dataset contains locations and attributes of sidewalk cafes provided by the District Department of Transportation. These came from DDOT's Transportation Online Permit System (TOPS).,2014-10-29 20:30:12+00:00,"April 16, 2023"
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::street-vending-zones,Traffic Calming in Last 30 Days,"The dataset contains locations and attributes of Street Vendor, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data comes from the Department of Transportation and the Department of Consumer and Regulatory Affairs.",2014-10-30 14:52:38+00:00,"April 16, 2023"
