link,title,description,published,date_updated,date
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::basemap-of-dc,Litter Can in Last 30 Days,The DC Basemap provides a reference map for the District of Columbia projected in Web Mercator. Access the ArcGIS Rest endpoint. The basemap utilizes the most current planimetric and reference data available. The service is provided by the Office of the Chief Technology Officer.,2013-05-01 18:49:52+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::circulator-routes,Parking Meter in Last 30 Days,"Explore Washington, DC with the DC Circulator as 
		your guide! The DC Circulator is a low-cost, efficient transit system 
		that connects District neighborhoods with ease. Click below to visit the
		 Circulator Route Map, to find exact stop location and service hours for
		 five routes throughout the District.",2014-01-28 19:04:58+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dcps-school-profiles,DOEE Services in Last 30 Days,"This interactive site provides comprehensive 
		information about DC public schools and programs including contact 
		information, DC-CAS scores, special programs offered, demographic 
		information and much more.  For more information on DC Public Schools visit https://dcps.dc.gov.",2014-01-28 19:23:25+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::godcgo,Dead Animal Pickup in Last 30 Days,"goDCgo is the number one resource for transportation
		 information and options to make getting into and around the District 
		easier than ever.  goDCgo is an initiative of the District Department of Transportation (DDOT) that encourages the use of sustainable transportation. We provide complimentary transit resources and consulting services to DC organizations and commuters. Our goal serves to decrease traffic congestion, improve air quality and create a better quality of life in the DC area. For more information visit https://www.godcgo.com.",2014-01-28 19:26:10+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::election-candidate-contribution,Wire Down or Power Outage in Last 30 Days,"The Office of Campaign Finance (OCF) provides easy access to all contributions and expenditures reported from 2003, through the current reporting period. Because the system is updated on a daily basis, you may be able to retrieve data received by OCF after the latest reporting period. This data is as reported, but may not be complete.A Contributor Report is a graphical representation of the percentages of the different kinds of contributions received by candidate/committees. This report has been categorized on the basis of the contributions received by denomination and also by the type of donor. The Expenditure Report is a graphical representation of the percentages of the different kinds of expenditures made by candidate/committees. This report has been categorized on the basis of the types of expenditure.",2014-02-05 18:09:28+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::dc-location-search,ProTrack Project Polygon,"The Master Address Repository is a database of building addresses, intersections and other location identifiers in the District. Each address in the database has been assigned a unique Address Identification Number (AID), map coordinates and other useful information. The District created a nice, easy to use, website where anyone can search for a single address or square suffix lot. Just use one of our standard methods to get quick information. What Ward are you located in? What is your police district?",2014-02-05 20:15:10+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::property-quest,Container Removal in Last 30 Days,"DCPropertyQuest has been developed by the District of Columbia Office of Planning as an easy way to view a wide range of site-related information, especially information on historic resources.This site uses ArcGIS Server from ESRI to supply spatial data for mapping and analysis, and Adobe’s Flex technology to display it.  When you enter an address, it looks it up in DC’s Master Address Repository to find that specific location.  It then searches there for the matching lot, and searches again for historic resources that might be present on that lot.",2014-02-05 21:23:50+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::public-library-hours-and-locations,Traffic Signal Maintenance - Last 30 Days,"Find out more about what’s happening at your neighborhood library such as latest events, news and updates plus contact information.",2014-02-05 21:29:46+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::sex-offender-registry-1,Leaf Collection Streets,"In 2000, the District of Columbia City Council passed the Sex Offender Registration law. This law requires a person convicted, or found not guilty by reason of insanity, of a registration-required offense to register with the District of Columbia, provided the individual lives, works, or attends school here. Generally speaking, an offense requiring registration is a felony sexual assault (regardless of the age of the victim); an offense involving sexual abuse or exploitation of minors; or sexual abuse of wards, patients, or clients. The Court Services and Offender Supervisory Agency (CSOSA) will complete the initial registration. Other District agencies also have the responsibility to notify either CSOSA or MPD about sex offenders. These agencies include the Department of Corrections, Forensic and Mental Health Unit of St. Elizabeth's Hospital, and the District of Columbia Superior Court.",2014-02-06 20:58:48+00:00,"April 7, 2023",2023-04-07
https://datahub-dc-dcgis.hub.arcgis.com/datasets/DCGIS::trash-and-recycling-pick-up-day,Trash Collection - Last 30 Days,"The Department of Public Works removes 
		approximately 128,000 tons of trash and more than 20,000 tons of 
		recyclables from 110,000 single-family homes and small residential 
		buildings (with no more than three living units) each year. Residential 
		buildings with more than 3 living units do not receive trash collection 
		services from the City.",2014-02-06 21:09:58+00:00,"April 7, 2023",2023-04-07
